Store_Name	Type	Address	City	State_province	Zip	Country_ISO3166_alpha2	Latitude	Longitude	Phone	URL	Accessibility	Public
Ballard Library	Library	5614 22nd Ave. N.W.	Seattle	Washington	98107	US	47,6696728602	-122,3847214601	[+1] 206-684-4089	http://www.spl.org/locations/ballard-branch/bal-computers-and-equipment	None, Wheelchair accessible	All Public
Mill Creek Library	Library	15429 Bothell Everett Hwy	Mill Creek	Washington	98012-1212	US	47,857864988	-122,2187156068	[+1] 425-337-4822	http://www.sno-isle.org	Deaf, Wheelchair accessible	All Public
Delridge Branch	Library	5423 Delridge Way S.W.	Seattle	Washington	98106	US	47,5533055714	-122,3630837864	[+1] 206-733-9125	http://www.spl.org/locations/delridge-branch/dlr-computers-and-equipment	Wheelchair accessible	All Public
Brewster Community Library	Library	108 S Third	Brewster	Washington	98812-0280	US	48,0996700003	-119,7809099998	[+1] 509-689-4046	http://www.ncrl.org/brewster.htm	Wheelchair accessible	All Public
Skyway Library	Library	7614 South 126 St	Seattle	Washington	98178	US	47,4906987831	-122,2376733151	[+1] 206-772-5541	http://www.kcls.org/skyway/	Blind/LV	All Public
Ocean Park Timberland Library	Library	1308 256th Place	Ocean Park	Washington	98640-0310	US	46,4878238434	-124,0516520734	[+1] 360-665-4184	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Yakama Nation Library	Library	Spiel-yi LoopP.O. Box 151	Toppenish	Washington	98948	US	46,3750800001	-120,3129800001	[+1] 509-865-2800	http://www.yakamamuseum.com/ynlibrary.php	None	All Public
Yelm Timberland Library	Library	210 Prarie Park St SE	Yelm	Washington	98597-7699	US	46,939298799	-122,5992235997	[+1] 360-458-3374	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Garfield Computer Lab	Government/Public Community Center	2323 East Cherry St	Seattle	Washington	98122	US	47,6079515259	-122,3024566268	[+1] 206-684-4788	http://www.seattle.gov/parks/rectech/labs/garfield/	None	All Public
Leavenworth Community Library	Library	700 Hwy 2	Leavenworth	Washington	98826	US	47,5942501649	-120,6652277012	[+1] 509-548-7923	http://www.ncrl.org/leavenworth.htm	Wheelchair accessible	All Public
Tieton Library	Library	418 Maple St	Tieton	Washington	98947	US	46,7023389564	-120,7553308049	[+1] 509-673-2621	http://www.yvl.org	Wheelchair accessible	All Public
South Park Branch	Library	8604 Eighth Ave. S.	Seattle	Washington	98108	US	47,5262130101	-122,3228930706	[+1] 206-615-1688	http://www.spl.org/locations/south-park-branch/spa-computers-and-equipment	Wheelchair accessible	All Public
North Fork Public Library	Library	7506 Kendall Road	Maple Falls	Washington	98266	US	48,9236900002	-122,0772799996	[+1] 360-599-2020	http://www.wcls.org	None	All Public
Enumclaw Public Library	Library	1700 1st St	Enumclaw	Washington	98022-3460	US	47,2036177298	-121,986733239	[+1] 360-825-2938	http://www.enumclaw.lib.wa.us/	Wheelchair accessible	All Public
Soap Lake Community Library	Library	32 E Main	Soap Lake	Washington	98851	US	47,3889799997	-119,4832300004	[+1] 509-246-1313	http://www.ncrl.org/soaplake.htm	Wheelchair accessible	All Public
Boulevard Park Library	Library	12015 Roseberg Ave S	Seattle	Washington	98168-2358	US	47,4953662645	-122,3075956029	[+1] 206-242-8662	http://www.kcls.org/boulevardpark/	Blind/LV	All Public
West Seattle Branch	Library	2306 42nd Ave. S.W.	Seattle	Washington	98116	US	47,5828613047	-122,3850721957	[+1] 206-684-7444	http://www.spl.org/locations/west-seattle-branch/wst-computers-and-equipment	Wheelchair accessible	All Public
Denny Ashby Library	Library	856 Arlington St	Pomeroy	Washington	99347	US	46,4708813436	-117,5989279765	[+1] 509-843-3710	http://www.pomeroy.lib.wa.us/	Wheelchair accessible	All Public
New Futures Woodridge Park	Housing	12420 28th Ave S#29 & #30	Burien	Washington	98168	US	47,4686200004	-122,3403599997	[+1] 206-242-2207	http://newfutures.org/our-programs/our-sites/woodridge-park/	None	Limited Users
White Swan Library	Library	White Swan Library	White Swan	Washington	98952	US	46,3828699997	-120,7306300003	[+1] 509-874-2060	http://www.yvl.org	Wheelchair accessible	All Public
Rainier Beach Branch	Library	9125 Rainier Ave. S.	Seattle	Washington	98118	US	47,5215275423	-122,2700309218	[+1] 206-386-1906	http://www.spl.org/locations/rainier-beach-branch/rbe-computers-and-equipment	Wheelchair accessible	All Public
San Juan Island Library District	Library	1010 Guard St	Friday Harbor	Washington	98250-9240	US	48,5362775541	-123,0303177653	[+1] 360-378-2798	http://www.sjlib.org/	Wheelchair accessible	All Public
Shoreline Library	Library	345 NE 175th St	Shoreline	Washington	98155-3517	US	47,7558407399	-122,3259637759	[+1] 206-362-7550	http://www.kcls.org/shoreline/	Blind/LV	All Public
Beacon Hill Library	Library	2821 Beacon Ave. S.	Seattle	Washington	98144	US	47,5781758369	-122,3112198707	[+1] 206-684-4711	http://www.spl.org/locations/beacon-hill-branch/bea-computers-and-equipment	Wheelchair accessible	All Public
Warden Community Library	Library	205 S Main St	Warden	Washington	98857	US	46,9685998476	-119,0406728318	[+1] 509-349-2226	http://www.ncrl.org/warden.htm	Wheelchair accessible	All Public
Lopez Island Family Resource Center	Human Services/Non-profit (non-residential)	160 Village Road	Lopez Island	Washington	98261	US	48,5248471711	-122,9120749049	[+1] 360-468-4117	http://lifrc.org/	None	All Public
Clinton Library	Library	4781 Deer Lake Rd	Clinton	Washington	98236-0530	US	47,9785989705	-122,358056562	[+1] 360-341-4280	http://www.sno-isle.org	Wheelchair accessible	All Public
Burlington Public Library	Library	820 E Washington Ave	Burlington	Washington	98233	US	48,4747009747	-122,3239093045	[+1] 360-755-0760	http://www.ci.burlington.wa.us/	None	All Public
Richmond Beach Library	Library	19601 21 Ave NW	Shoreline	Washington	98177	US	47,7712713287	-122,3842941358	[+1] 206-546-3522	http://www.kcls.org/richmondbeach/	Blind/LV	All Public
Burien Library	Library	400 SW 152 St	Burien	Washington	98166	US	47,4668667494	-122,3393506638	[+1] 206-243-3490	http://www.kcls.org/burien/	Blind/LV	All Public
Ferndale Public Library	Library	2222 Main St	Ferndale	Washington	98248	US	48,8484281257	-122,6027569892	[+1] 360-384-3647	http://www.wcls.org	None	All Public
Seattle Public Library (Central Branch)	Library	1000 Fourth Ave	Seattle	Washington	98104	US	47,6062166978	-122,3329834638	[+1] 206-386-4636	http://www.spl.org/locations/central-library/cen-computers-and-equipment	Blind/LV, Deaf, Wheelchair accessible	All Public
Sequim Library	Library	630 N Sequim Ave	Sequim	Washington	98382-3148	US	48,0858071496	-123,1022545344	[+1] 360-683-1161	http://www.nols.org	Wheelchair accessible	All Public
Amanda Park Timberland Library	Library	6188 US Hwy 101	Amanda Park	Washington	98526-0089	US	47,4580452637	-123,90471296	[+1] 360-288-2725	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Madrona Branch	Library	1134 33rd Ave.	Seattle	Washington	98122	US	47,6127817486	-122,2903196267	[+1] 206-684-4705	http://www.spl.org/locations/madrona-sally-goldmark-branch/mgm-computers-and-equ...	Wheelchair accessible	All Public
Mount Vernon City Library	Library	315 Snoqualimie St	Mount Vernon	Washington	98273-4226	US	48,4157722046	-122,3379865215	[+1] 360-336-6209	http://www.ci.mount-vernon.wa.us/library	Deaf, Wheelchair accessible	All Public
Garfield Teen Life Center Computer Lab	Government/Public Community Center	428 23rd Ave	Seattle	Washington	98122	US	47,6054389348	-122,3026492001	[+1] 206-684-4550	http://www.seattle.gov/parks/rectech/labs/garfield_teen_life/	None	All Public
South Hill Library	Library	15420 Meridian E	South Hill	Washington	98388-5107	US	47,116366	-122,29407	[+1] 253-548-3303	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Wapato Library	Library	119 E 3rd St	Wapato	Washington	98951-1324	US	46,4459743681	-120,4188214905	[+1] 509-877-2882	http://www.yvl.org	Wheelchair accessible	All Public
La Casa Hogar	Human Services/Non-profit (non-residential)Faith-based	106 South 6th Street	Yakima	Washington	98901-2927	US	46,6022765368	-120,4976470664	[+1] 509-457-5058	http://www.lacasahogar.org/		
Key Center Library	Library	8905 Key Peninsula Hwy N	Lakebay	Washington	98349-9326	US	47,3388212788	-122,7467615295	[+1] 253-548-3309	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Crossroads Library Connection	Library	15600 NE 8th St	Bellevue	Washington	98008-3946	US	47,619674	-122,130339	[+1] 425-644-6203	http://www.kcls.org/crossroads/	Blind/LV	All Public
Spokane South Hill Library	Library	524 S Stone St	Spokane	Washington	99202-4150	US	47,6514443253	-117,3767459167	[+1] 509-444-5386	http://www.spokanelibrary.org	Wheelchair accessible	All Public
Kalispel Tribe Camas Center for Community Wellness	Human Services/Non-profit (non-residential)	1821 N LeClerc Road	Usk	Washington	99180	US	48,3136499997	-117,2807199996	[+1] 509-447-7139	http://www.kalispeltribe.com/wellness-center/	None	All Public
Graham Library	Library	902 224th St E	Graham	Washington	98338	US	47,0557599999	-122,2947699999	[+1] 253-548-3325	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Renton Public Library	Library	100 Mill Ave S	Renton	Washington	98055-2126	US	47,4821026118	-122,2029577481	[+1] 425-430-6610	http://www.kcls.org/rentonhighlands/	Blind/LV	All Public
Black Diamond Library	Library	24707 Roberts Drive	Black Diamond	Washington	98010	US	47,3120934281	-122,0129777061	[+1] 360-886-1105	http://www.kcls.org/blackdiamond/	None	All Public
Buckley Library	Library	123 S River Ave	Buckley	Washington	98321	US	47,1624372492	-122,0295342247	[+1] 253-548-3310	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Puyallup Public Library	Library	324 South Meridian	Puyallup	Washington	98371	US	47,189937463	-122,2938081686	[+1] 253-841-5454	http://www.cityofpuyallup.org/library/index.php	Deaf, Wheelchair accessible	All Public
Spokane Valley Library	Library	12004 E Main Ave	Spokane Valley	Washington	99206-5114	US	47,6588720026	-117,242497022	[+1] 509-893-8400	http://www.scld.org	Blind/LV, Wheelchair accessible	All Public
Granger Library	Library	508 Sunnyside Ave	Granger	Washington	98932	US	46,3455169018	-120,1900621818	[+1] 509-854-1446	http://www.yvl.org	Wheelchair accessible	All Public
Omak Community Library	Library	30 S Ash St	Omak	Washington	98841	US	48,4096440191	-119,5300575019	[+1] 509-826-1820	http://www.ncrl.org/omak.htm	Wheelchair accessible	All Public
Lake City Branch	Library	12501 28th Ave. N.E.	Seattle	Washington	98125	US	47,7194683209	-122,2977390335	[+1] 206-684-7518	http://www.spl.org/locations/lake-city-branch/lcy-computers-and-equipment	Wheelchair accessible	All Public
Centralia Timberland Library	Library	110 S Silver St	Centralia	Washington	98531-4218	US	46,7162835905	-122,9570050335	[+1] 360-736-0183	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Issaquah Library	Library	10 W Sunset Way	Issaquah	Washington	98027-0040	US	47,5301898441	-122,0366012891	[+1] 425-392-5430	http://www.kcls.org/issaquah/	Blind/LV	All Public
Salkum Timberland Library	Faith-based	2480 U.S. Highway 12	Salkum	Washington	98582-0120	US	46,5317606965	-122,6298586589	[+1] 360-985-2148	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Capitol Hill Library	Library	425 Harvard Ave. E.	Seattle	Washington	98122	US	47,622800196	-122,3220387147	[+1] 206-684-4715	http://www.spl.org/locations/capitol-hill-branch/cap-computers-and-equipment	Wheelchair accessible	All Public
Reardan Memorial Library	Library	120 S Oak	Reardan	Washington	99209	US	47,6692276773	-117,8819205104	[+1] 509-994-9997	http://communitiesconnect.org/none	Wheelchair accessible	All Public
Lacey Timberland Library	Library	500 College St SE	Lacey	Washington	98503-1240	US	47,0438886193	-122,823203902	[+1] 360-491-3860	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Moxee Library	Library	255 W Seattle Ave	Moxee	Washington	98936	US	46,5561062073	-120,3915745178	[+1] 509-575-8854	http://www.yvl.org	Wheelchair accessible	All Public
Steilacoom Library	Library	2950 Steilacoom Blvd	Steilacoom	Washington	98446-5309	US	47,1768983474	-122,5790739439	[+1] 253-548-3313	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Covington Library	Library	27100 164th Ave SE	Covington	Washington	98042-8240	US	47,3592179024	-122,1229557971	[+1] 253-630-8761	http://www.kcls.org/covington/	Blind/LV	All Public
Westwood Heights Senior Housing	Housing	9455 27th Ave SW	Seattle	Washington	98126	US	47,5182116546	-122,3673467958	[+1] 206-770-6835	http://www.seattlehousing.org/housing/public/locations/westwood-heights/	Blind/LV	Limited Users
Marysville Library	Library	6120 Grove St	Marysville	Washington	98270-4127	US	48,0644482514	-122,1481368139	[+1] 360-658-5000	http://www.sno-isle.org	Deaf, Wheelchair accessible	All Public
La Conner Regional Library	Library	614 Morris St	La Conner	Washington	98257	US	48,3921611989	-122,4893845579	[+1] 360-466-3352	http://www.lclib.lib.wa.us/	Wheelchair accessible	All Public
Anacortes Library	Library	1220 10th St	Anacortes	Washington	98221-1988	US	48,5142891304	-122,6164677539	[+1] 360-293-1910	http://library.cityofanacortes.org	Wheelchair accessible	All Public
Cathlamet Public Library	Library	100 Main St	Cathlamet	Washington	98612	US	46,2012986717	-123,3845954198	[+1] 360-795-3254	http://www.townofcathlamet.com/parksrec.shtml	Wheelchair accessible	All Public
Camas Public Library	Library	625 NE 4th Ave	Camas	Washington	98607-2109	US	45,5869059929	-122,4021233414	[+1] 360-834-4692	http://www.ci.camas.wa.us/library/	Wheelchair accessible	All Public
Forks Library	Library	171 Forks Ave S	Forks	Washington	98331-1817	US	47,9501399998	-124,3854300003	[+1] 360-374-6402	http://www.nols.org	Wheelchair accessible	All Public
Upper Skagit Library	Library	45770B Main Street	Concrete	Washington	98237	US	48,5388588607	-121,7496986021	[+1] 360-853-7939	http://www.upperskagit.lib.wa.us/	None	All Public
Mary L Goodrich Toppenish Library	Library	1 S Elm St	Toppenish	Washington	98948-1574	US	46,3787500464	-120,3151116741	[+1] 509-865-3600	http://www.yvl.org	Wheelchair accessible	All Public
Miller Computer Lab	Government/Public Community Center	330 19th Ave E	Seattle	Washington	98122	US	47,6210528603	-122,3072478412	[+1] 206-684-4753	http://www.seattle.gov/parks/rectech/labs/miller/	None	All Public
Fremont Branch	Library	731 N. 35th St.	Seattle	Washington	98103	US	47,6504024771	-122,3494440538	[+1] 206-684-4084	http://www.spl.org/locations/fremont-branch/fre-computers-and-equipment	Wheelchair accessible	All Public
Tillicum Library	Library	14916 Washington Ave Sw	Lakewood	Washington	98466	US	47,1238243392	-122,5533556108	[+1] 253-548-3314	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Lake Stevens Library	Library	1804 Main St	Lake Stevens	Washington	98258-0217	US	48,0140052788	-122,0641940957	[+1] 425-334-1900	http://www.sno-isle.org	Wheelchair accessible	All Public
Deming Public Library	Library	5044 Mt Baker Hwy	Deming	Washington	98244	US	48,8244293255	-122,2142279898	[+1] 360-592-2422	http://www.wcls.org	None	All Public
Clarkston Heights Library	Library	2036 4th Avenue	Clarkston	Washington	99403	US	46,3927117604	-117,0818282737	[+1] 509-758-4601	http://www.aclib.org/	None	All Public
Sultan Library	Library	319 Main St	Sultan	Washington	98294-0580	US	47,862439	-121,816746	[+1] 360-793-1695	http://www.sno-isle.org	Wheelchair accessible	All Public
Monroe Library	Library	1070 Village Way	Monroe	Washington	98272-2035	US	47,8488088152	-121,9847659741	[+1] 360-794-7851	http://www.sno-isle.org	Wheelchair accessible	All Public
Woodinville Library	Library	17105 Avandale Rd NE	Woodinville	Washington	98072-9181	US	47,7516741366	-122,0813455237	[+1] 425-788-0733	http://www.kcls.org/woodinville/	Blind/LV	All Public
Coulee City Community Library	Library	405 W Main St	Coulee City	Washington	99115	US	47,6111449825	-119,2937516454	[+1] 509-632-8751	http://www.ncrl.org/couleecity.htm	Wheelchair accessible	All Public
Fall City Library	Library	33415 SE 42nd Pl	Fall City	Washington	98024-0340	US	47,5688858404	-121,893646666	[+1] 425-222-5951	http://www.kcls.org/fallcity/	None	All Public
Northgate Branch	Library	10548 Fifth Ave. N.E.	Seattle	Washington	98125	US	47,7059508707	-122,3231309526	[+1] 206-386-1980	http://www.spl.org/locations/northgate-branch/nga-computers-and-equipment	Wheelchair accessible	All Public
Sedro Woolley Public Library	Library	802 Ball St	Sedro Woolley	Washington	98284-2008	US	48,5043418875	-122,2287084346	[+1] 360-855-1166	http://www.youseemore.com/sedro-woolley/	Blind/LV, Wheelchair accessible	All Public
Snoqualmie Library	Library	7824 Center Blvd SE	Snoqualmie	Washington	98065	US	47,5297653321	-121,8725935373	[+1] 425-888-1223	http://www.kcls.org/snoqualmie/	None	All Public
Sunnyside Library	Library	621 Grant Ave	Sunnyside	Washington	98944-2220	US	46,3212743756	-120,0119142452	[+1] 509-576-0723	http://www.yvl.org	Wheelchair accessible	
Darrington Library	Library	1005 Cascade St	Darrington	Washington	98241-0025	US	48,2542582954	-121,6036394715	[+1] 360-436-1600	http://www.sno-isle.org	Wheelchair accessible	All Public
International District - Chinatown Branch	Library	713 Eighth Ave. S.	Seattle	Washington	98104	US	47,5965363407	-122,3225273081	[+1] 206-386-1300	http://www.spl.org/locations/international-district--chinatown-branch/idc-comput...	Wheelchair accessible	All Public
North Bend Library	Library	115 E 4th St	North Bend	Washington	98045-8251	US	47,4970749763	-121,7830300564	[+1] 425-888-0554	http://www.kcls.org/northbend/	Blind/LV	All Public
Lake City Neighborhood Service Center	Government/Public Community Center	12525 28th Ave NE			98125	US	47,7197633096	-122,2977868906	[+1] 206-233-5061	http://www.seattle.gov/neighborhoods/nsc/lakecity.htm	None	All Public
Indian Trail Library	Library	3324 S Perry St	Spokane		99203-4058	US	47,6240682401	-117,3901387196	[+1] 509-444-5396	http://www.spokanelibrary.org	Wheelchair accessible	All Public
Neighborhood House Rainier Vista	Human Services/Non-profit (non-residential)	4410 29th Ave S	Seattle		98108	US	47,5628244099	-122,296003342	[+1] 206-461-4568	http://www.nhwa.org	Wheelchair accessible	All Public
Southwest Branch	Library	9010 35th Ave. S.W.	Seattle		98126	US	47,5226498161	-122,3766256985	[+1] 206-684-7455	http://www.spl.org/locations/southwest-branch/swt-computers-and-equipment	Wheelchair accessible	All Public
Neighborhood House High Point Center	Human Services/Non-profit (non-residential)	6400 Sylvan Way SW	Seattle		98126	US	47,6035599999	-122,3294399998	[+1] 206-461-4568	http://www.nhwa.org/high-point/	None, Wheelchair accessible	All Public
Tacoma Intel Computer Clubhouse	Human Services/Non-profit (non-residential)	1209 MLK Jr Way	Tacoma		98405	US	47,2505528216	-122,4513522293	[+1] 253-468-8157	http://www.cleverkids.org/	None	Limited Users
Peshastin Community Library	Library	8396 Main St	Peshastin		98847	US	47,569524359	-120,6039019642	[+1] 509-548-7821	http://www.ncrl.org/peshastin.htm	Wheelchair accessible	All Public
Lynnwood Library	Library	19200 44th Ave W	Lynnwood		98036-5617	US	47,8243382628	-122,2924600132	[+1] 425-778-2148	http://www.sno-isle.org	Wheelchair accessible	All Public
South Bend Timberland Library	Library	1st & Pacific	South Bend		98586-0368	US	46,6687000003	-123,7869699997	[+1] 360-875-5532	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Mabton Library	Library	415 B St	Mabton		98935	US	46,2136693027	-119,9968016661	[+1] 509-894-4128	http://www.yvl.org	Wheelchair accessible	All Public
Auburn Library	Library	1140 Auburn Way South	Auburn		98002	US	47,2977402485	-122,2182659457	[+1] 253-931-3018	http://www.kcls.org/auburn/	Blind/LV	All Public
Camano Island Library Pilot Project	Library	848 N. Sunrise Blvd	Camano Island		98282-8770	US	48,2411466114	-122,4560370658	[+1] 360-387-5150	http://www.sno-isle.org	Wheelchair accessible	All Public
Delridge Computer Lab	Government/Public Community Center	4501 Delridge Way SW	Seattle		98106	US	47,5628384995	-122,3634767055	[+1] 206-799-2030	http://www.seattle.gov/parks/rectech/labs/delridge/	None	All Public
Bonney Lake Library	Library	18501 90th St E	Bonney Lake		98390-7185	US	47,1758461407	-122,18239199	[+1] 253-548-3308	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Deer Park Library	Library	208 S Forest Ave	Deer Park		99006	US	47,9523383194	-117,4604620758	[+1] 509-893-8300	http://www.scld.org	Wheelchair accessible	All Public
Denny Terrace	Housing	100 Melrose Ave E	Seattle		98102	US	47,6187352604	-122,3278303486	[+1] 206-659-8993	http://www.fulllifecare.org/	Wheelchair accessible	Limited Users
Chelan Community Library	Library	417 S Bradley	Chelan		98816	US	47,8369245351	-120,0129933669	[+1] 509-682-5131	http://www.ncrl.org/chelan.htm	Wheelchair accessible	All Public
Helping Link	Human Services/Non-profit (non-residential)	1032 S Jackson StSte C	Seattle		98104	US	47,6035599999	-122,3294399998	[+1] 206-568-5160	http://helpinglink.org	None	Limited Users
Winlock Timberland Library	Library	322 NE First Street	Winlock		98596-0248	US	46,4923164323	-122,9366713624	[+1] 360-785-3461	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Kelso Public Library	Library	351 Three Rivers Dr	Kelso		98626	US	46,140371	-122,899656	[+1] 360-423-8110	http://library.kelso.gov	Wheelchair accessible	All Public
Summit Library	Library	5107 112th St E	Tacoma		98390-1512	US	47,1544512696	-122,3601519823	[+1] 253-548-3321	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Des Moines Library	Library	21620 11th Ave S	Des Moines		98198-6317	US	47,4078846153	-122,3198156075	[+1] 206-824-6066	http://www.kcls.org/desmoines/	Blind/LV	All Public
Lake Hills Library	Library	15590 Lake Hills Blvd	Bellevue		98007-5997	US	47,6033601987	-122,1310303835	[+1] 425-747-3360	http://www.kcls.org/lakehills/	Blind/LV	All Public
University Branch	Library	5009 Roosevelt Way N.E.	Seattle		98105	US	47,6654516394	-122,3175194815	[+1] 206-684-4063	http://www.spl.org/locations/university-branch/uni-computers-and-equipment	Wheelchair accessible	All Public
Renton Highlands Library	Library	2902 NE 12 St	Renton		98056-3126	US	47,5031462635	-122,1801391883	[+1] 425-430-6790	http://www.kcls.org/renton/	Blind/LV	All Public
Lopez Island Library District	Library	2225 Fisherman Bay Rd	Lopez Island		98261	US	48,5216365914	-122,9098985456	[+1] 360-468-2265	http://www.lopezlibrary.org/	Wheelchair accessible	All Public
Queen Anne Branch	Library	400 W. Garfield St.	Seattle		98119	US	47,6335749374	-122,3624039746	[+1] 206-386-4227	http://www.spl.org/locations/queen-anne-branch/qna-computers-and-equipment	Wheelchair accessible	All Public
